Line Segment Data	2569 items	kilometer
M1047507	L2820531	0.039868308	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069500	M1047574	0.20998779	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026858	M1026854	0.048793761	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3181545	N1138603	0.078544886	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2991939	L3216367	0.093755509	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138603	L3125349	0.022080165	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047528	L2858166	0.004833257	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047574	L2841632	0.012023726	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047577	M1047592	0.10300613	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047592	M3763619	0.040091287	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047484	L3010560	0.059089526	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2822871	M1026872	0.060144485	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2935549	M1069420	0.096022455	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
Q14411	M1069428	0.045358185	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026905	M1026907	0.12617881	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047548	M1047552	0.019359109	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2879070	L3216345	0.089300859	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069424	L2935549	0.088596305	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3143999	M1069350	0.002950729	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1139260	L2925506	0.10220529	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2820531	N1137992	0.037420411	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138598	M1069376	0.014821554	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047490	L2726973	0.072453304	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3235254	M1026855	0.10123214	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1144668	M4113347	0.029610516	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2766741	M1069382	0.061136932	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047486	M1047484	0.099727563	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2822877	N1138598	0.02327281	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069483	M1069481	0.050953357	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3103822	M1047577	0.11707709	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047483	M1047480	0.079587956	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
Q14733	M1047568	0.014963062	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047534	N1136663	0.11473566	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138599	L3181545	0.063193336	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
190-8593	D5860423-3_INT	0.008028039	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026861	M1026858	0.162944	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069420	M4277837	0.17048585	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2841632	190-8593	0.025125717	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069311	M1069310	0.000560638	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3010560	M1047483	0.032611808	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
196-29519	L3066815	0.034212456	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069350	N1144668	0.026748079	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136666	M1047528	0.029773341	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026896	P827525	0.014425495	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026854	M1026852	0.13122769	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3120484	M1026896	0.10349147	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138604	L3143999	0.078126157	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138607	L3159448	0.064313474	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069514	N1136657	0.012244688	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069382	L2822877	0.038731708	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3066815	M1047548	0.044393747	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047568	M1047558	0.090560526	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3160109	M1047497	0.071936457	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
Q16642_CAP	R42246	0.00454099	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136657	D6290228-6_INT	0.053233733	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069464	M1069461	0.080336373	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069481	L2745848	0.026870119	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047480	M1069483	0.11398234	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M3768670	L3235254	0.074320985	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136367	M1069515	0.038498335	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2858166	N1136667	0.088858912	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3235257	L2822871	0.11047921	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047552	N1136669	0.028659335	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069468	M1069464	0.073122501	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069417	N1138597	0.031773723	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3216367	M1069468	0.04134682	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069461	L2876798	0.04901646	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3122821	M1047486	0.13791251	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026830	L2879070	0.05247537	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069515	M1069514	0.045780623	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3159448	M1069311	0.002488518	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026902	M1026905	0.099398669	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047522	M1047521	0.10307458	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
Q14413	M1026886	0.1042582	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2673308	L2991939	0.11260967	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069419	M1069418	0.048491679	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2766749	D5956499-2_INT	0.040739038	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1137992	196-29520	0.004539509	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
196-29520	L3160109	0.064648533	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026852	L3197646	0.10323464	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026872	D5502543-2_INT	0.091211804	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2822872	M1047490	0.092823918	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3125349	N1138604	0.060300362	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069376	N1138599	0.021995614	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M3763619	M1026830	0.042081798	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2691967	M1069504	0.045726354	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069438	L2766749	0.068016871	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047485	L3122821	0.19680998	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136669	L3103822	0.060571448	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
R42246	L2691967	0.042448529	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047558	M1047550	0.054832551	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026886	L3120484	0.001817619	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047526	N1136666	0.011176327	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L3216345	M3768670	0.075804756	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M4113347	N1138607	0.023221022	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1136663	M1047522	0.047309655	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047550	M1047534	0.099742445	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M4277837	M1069419	0.068968458	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069457	N1139260	0.006837993	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1026851	L3235257	0.030041576	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069411	L2766741	0.087157015	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
P827525	M1026902	0.09909393	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1069428	M1069424	0.076660914	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
L2726973	M1047485	0.084637173	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
N1138597	M1069411	0.04788032	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR-ABC
M1047521	M1047526	0.041988572	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_WPAL-ABC
M1186065	P829977	0.092323259	3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR4_ACSR-ABC
M1026808	M1026807	0.005029501	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026744	N1140817	0.029536448	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026690	L2879078	0.096363859	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L3139366	M4362177	0.1156061	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026709	M1026701	0.058611852	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026997	M1027000	0.060314072	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
N1140521	L3254217	0.03591932	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026769	L2841633	0.008550947	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026807	N1140521	0.018347309	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026970	M1026977	0.062532526	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L2879078	M1026681	0.059593245	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1027000	L2916608	0.066846915	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026960	M1026970	0.079435722	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026701	M1026697	0.061157918	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M4362177	M1186052	0.06550446	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026697	M1026690	0.061840714	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1108387	M1108398	0.030480145	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026984	M1026986	0.072005543	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1089143	M1089145	0.074066753	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026726	L2814529	0.039576611	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L3048221	D5835167-6_INT	0.068084433	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026702	L2729414	0.049898074	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
N1140817	L3235258	0.01579042	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L3254237	M1108387	0.14020837	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026977	M1026978	0.059795426	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026681	L3048221	0.06449491	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026708	M1026709	0.000731906	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1089145	L3215385	0.035965867	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L2851933	L3207907	0.023620312	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L3254217	M1026800	0.061863273	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
N1140828	M1026708	0.012172307	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M3763624	M3763618	0.005455986	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026978	M1026979	0.004560032	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026986	M1026997	0.15205151	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026706	N1140828	0.11928996	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1089145	L3047289	0.074065967	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
L3207907	M3037441	0.002424228	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M3763619	M3763624	0.014386384	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1186061	L3139366	0.14065441	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
M1026979	M1026984	0.070736498	3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR-ABC
P829977	M1186061	0.07476375	3PH_H-2_ACSR2_ACSR4_ACSR4_ACSR-ABC
L3232902	M4122658	0.038895348	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108490	L3142049	0.044113147	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069549	M1069556	0.059186808	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E182729	M1069503	0.007621311	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125960	M1125962	0.012579768	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2842383	D6023352-1_INT	0.052958573	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166376	L2842384	0.005246984	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209772	E192258	0.17433574	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1142100	M1108490	0.01329296	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3067478	M1125994	0.1046688	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069496	N1134475	0.059547747	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
R18245	E182746	0.032052645	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069564	N1136363	0.035926005	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134480	M1069519	0.019045497	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125934	L2730163	0.063376308	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069556	M1069564	0.090515718	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2973791	L3179650	0.064607934	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209788	M1209787	0.10721017	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1136366	L2916620	0.004744927	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125990	L3067478	0.063672552	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
Q14734	M1108529	0.055482462	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209787	L2823611	0.12435365	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125994	M1125997	0.10646896	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3030197	M1142868	0.070537313	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E206217	M1125969	0.055956106	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069499	N1134476	0.033799026	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142860	M1142863	0.050580339	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2786266	M1166375	0.034564588	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089215	N1134474	0.045665453	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209797	M1209791	0.066599759	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069503	N1134478	0.024136689	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069509	L2766738	0.067729349	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1142099	N1142100	0.034874672	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125952	L3214069	0.012769078	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3081380	D5799561-2_INT	0.092120627	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E183493	M1125902	0.089259045	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089203	M1089207	0.055782615	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2973833	M1166373	0.041401205	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1136363	R18245	0.056130014	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2730163	L2992624	0.084532303	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1186065	M1186064	0.069089863	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108534	M1108526	0.12855407	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166373	M1166374	0.009347399	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125962	L3123452	0.12338833	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209791	M1209790	0.055242928	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125917	M1125914	0.090952991	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125914	L2917328	0.042000852	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
E206211	N1134480	0.14963834	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1089197	M1089196	0.094418329	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2767341	M1125968	0.029324703	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166374	L2786266	0.06764679	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142843	L2955077	0.074693171	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
R20703	L2859403	0.042764844	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2692655	M1142821	0.05352371	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125919	M1125917	0.039996823	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3123509	M1209772	0.091160506	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125987	M1125989	0.067439688	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108500	M1108505	0.025428215	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142875	M1125944	0.2622579	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142828	L2674047	0.0003048	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1149235	D5563942-4_INT	0.031133341	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1134478	M1069505	0.011242703	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
Q1301	L3160872	0.014127752	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1108315	M1108311	0.072202851	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
N1142103	L3104830	0.011188495	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142818	L2955074	0.093152425	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1186064	M1186063	0.005146385	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L2955047	L3179646	0.047652144	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166368	L2973833	0.10508824	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3179650	L3232902	0.042597798	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1166375	L2842383	0.09683365	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1069503	N1134479	0.028319425	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1149236	M1149235	0.041559119	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1125902	226-23751	0.075868797	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142863	M1142865	0.06715174	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1209805	L2823592	0.10556016	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
L3104830	N1142104	0.074472705	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M1142865	L3030197	0.061550198	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
M3032977	M1166366	0.3076146	3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR-ABC
