Line Segment Data	6400 items	feet
23-5	23-6	250	11
24-5	24-6	250	11
25-5	25-6	250	11
26-5	26-6	250	11
27-5	27-6	250	11
28-5	28-6	250	11
29-5	29-6	250	11
30-5	30-6	250	11
31-5	31-6	250	11
32-5	32-6	250	11
33-5	33-6	250	11
34-5	34-6	250	11
35-5	35-6	250	11
36-5	36-6	250	11
37-5	37-6	250	11
38-5	38-6	250	11
39-5	39-6	250	11
40-5	40-6	250	11
41-5	41-6	250	11
42-5	42-6	250	11
43-5	43-6	250	11
44-5	44-6	250	11
45-5	45-6	250	11
46-5	46-6	250	11
47-5	47-6	250	11
48-5	48-6	250	11
49-5	49-6	250	11
50-5	50-6	250	11
1-7	1-8	200	1
2-7	2-8	200	1
3-7	3-8	200	1
4-7	4-8	200	1
5-7	5-8	200	1
6-7	6-8	200	1
7-7	7-8	200	1
8-7	8-8	200	1
9-7	9-8	200	1
10-7	10-8	200	1
11-7	11-8	200	1
12-7	12-8	200	1
13-7	13-8	200	1
14-7	14-8	200	1
15-7	15-8	200	1
16-7	16-8	200	1
17-7	17-8	200	1
18-7	18-8	200	1
19-7	19-8	200	1
20-7	20-8	200	1
21-7	21-8	200	1
22-7	22-8	200	1
23-7	23-8	200	1
24-7	24-8	200	1
25-7	25-8	200	1
26-7	26-8	200	1
27-7	27-8	200	1
28-7	28-8	200	1
29-7	29-8	200	1
30-7	30-8	200	1
31-7	31-8	200	1
32-7	32-8	200	1
33-7	33-8	200	1
34-7	34-8	200	1
35-7	35-8	200	1
36-7	36-8	200	1
37-7	37-8	200	1
38-7	38-8	200	1
39-7	39-8	200	1
40-7	40-8	200	1
41-7	41-8	200	1
42-7	42-8	200	1
43-7	43-8	200	1
44-7	44-8	200	1
45-7	45-8	200	1
46-7	46-8	200	1
47-7	47-8	200	1
48-7	48-8	200	1
49-7	49-8	200	1
50-7	50-8	200	1
1-8	1-12	225	10
2-8	2-12	225	10
3-8	3-12	225	10
4-8	4-12	225	10
5-8	5-12	225	10
6-8	6-12	225	10
7-8	7-12	225	10
8-8	8-12	225	10
9-8	9-12	225	10
10-8	10-12	225	10
11-8	11-12	225	10
12-8	12-12	225	10
13-8	13-12	225	10
14-8	14-12	225	10
15-8	15-12	225	10
16-8	16-12	225	10
17-8	17-12	225	10
18-8	18-12	225	10
19-8	19-12	225	10
20-8	20-12	225	10
21-8	21-12	225	10
22-8	22-12	225	10
23-8	23-12	225	10
24-8	24-12	225	10
25-8	25-12	225	10
26-8	26-12	225	10
27-8	27-12	225	10
28-8	28-12	225	10
29-8	29-12	225	10
30-8	30-12	225	10
31-8	31-12	225	10
32-8	32-12	225	10
33-8	33-12	225	10
34-8	34-12	225	10
35-8	35-12	225	10
36-8	36-12	225	10
37-8	37-12	225	10
38-8	38-12	225	10
39-8	39-12	225	10
40-8	40-12	225	10
41-8	41-12	225	10
42-8	42-12	225	10
43-8	43-12	225	10
44-8	44-12	225	10
45-8	45-12	225	10
46-8	46-12	225	10
47-8	47-12	225	10
48-8	48-12	225	10
49-8	49-12	225	10
50-8	50-12	225	10
1-8	1-9	225	9
2-8	2-9	225	9
3-8	3-9	225	9
4-8	4-9	225	9
5-8	5-9	225	9
6-8	6-9	225	9
7-8	7-9	225	9
8-8	8-9	225	9
9-8	9-9	225	9
10-8	10-9	225	9
11-8	11-9	225	9
12-8	12-9	225	9
13-8	13-9	225	9
14-8	14-9	225	9
15-8	15-9	225	9
16-8	16-9	225	9
17-8	17-9	225	9
18-8	18-9	225	9
19-8	19-9	225	9
20-8	20-9	225	9
21-8	21-9	225	9
22-8	22-9	225	9
23-8	23-9	225	9
24-8	24-9	225	9
25-8	25-9	225	9
26-8	26-9	225	9
27-8	27-9	225	9
28-8	28-9	225	9
29-8	29-9	225	9
30-8	30-9	225	9
31-8	31-9	225	9
32-8	32-9	225	9
33-8	33-9	225	9
34-8	34-9	225	9
35-8	35-9	225	9
36-8	36-9	225	9
37-8	37-9	225	9
38-8	38-9	225	9
39-8	39-9	225	9
40-8	40-9	225	9
41-8	41-9	225	9
42-8	42-9	225	9
43-8	43-9	225	9
44-8	44-9	225	9
45-8	45-9	225	9
46-8	46-9	225	9
47-8	47-9	225	9
48-8	48-9	225	9
49-8	49-9	225	9
50-8	50-9	225	9
1-8	1-13	300	1
2-8	2-13	300	1
3-8	3-13	300	1
4-8	4-13	300	1
5-8	5-13	300	1
6-8	6-13	300	1
7-8	7-13	300	1
8-8	8-13	300	1
9-8	9-13	300	1
10-8	10-13	300	1
11-8	11-13	300	1
12-8	12-13	300	1
13-8	13-13	300	1
14-8	14-13	300	1
15-8	15-13	300	1
16-8	16-13	300	1
17-8	17-13	300	1
18-8	18-13	300	1
19-8	19-13	300	1
20-8	20-13	300	1
21-8	21-13	300	1
22-8	22-13	300	1
23-8	23-13	300	1
24-8	24-13	300	1
25-8	25-13	300	1
26-8	26-13	300	1
27-8	27-13	300	1
28-8	28-13	300	1
29-8	29-13	300	1
30-8	30-13	300	1
31-8	31-13	300	1
32-8	32-13	300	1
33-8	33-13	300	1
34-8	34-13	300	1
35-8	35-13	300	1
36-8	36-13	300	1
37-8	37-13	300	1
38-8	38-13	300	1
39-8	39-13	300	1
40-8	40-13	300	1
41-8	41-13	300	1
42-8	42-13	300	1
43-8	43-13	300	1
44-8	44-13	300	1
45-8	45-13	300	1
46-8	46-13	300	1
47-8	47-13	300	1
48-8	48-13	300	1
49-8	49-13	300	1
50-8	50-13	300	1
1-9	1-14	425	9
2-9	2-14	425	9
3-9	3-14	425	9
4-9	4-14	425	9
5-9	5-14	425	9
6-9	6-14	425	9
7-9	7-14	425	9
8-9	8-14	425	9
9-9	9-14	425	9
10-9	10-14	425	9
11-9	11-14	425	9
12-9	12-14	425	9
13-9	13-14	425	9
14-9	14-14	425	9
15-9	15-14	425	9
16-9	16-14	425	9
17-9	17-14	425	9
18-9	18-14	425	9
19-9	19-14	425	9
20-9	20-14	425	9
21-9	21-14	425	9
22-9	22-14	425	9
23-9	23-14	425	9
24-9	24-14	425	9
25-9	25-14	425	9
26-9	26-14	425	9
27-9	27-14	425	9
28-9	28-14	425	9
29-9	29-14	425	9
30-9	30-14	425	9
31-9	31-14	425	9
32-9	32-14	425	9
33-9	33-14	425	9
34-9	34-14	425	9
35-9	35-14	425	9
36-9	36-14	425	9
37-9	37-14	425	9
38-9	38-14	425	9
39-9	39-14	425	9
40-9	40-14	425	9
41-9	41-14	425	9
42-9	42-14	425	9
43-9	43-14	425	9
44-9	44-14	425	9
45-9	45-14	425	9
46-9	46-14	425	9
47-9	47-14	425	9
48-9	48-14	425	9
49-9	49-14	425	9
50-9	50-14	425	9
1-13	1-34	150	11
2-13	2-34	150	11
3-13	3-34	150	11
4-13	4-34	150	11
5-13	5-34	150	11
6-13	6-34	150	11
7-13	7-34	150	11
8-13	8-34	150	11
9-13	9-34	150	11
10-13	10-34	150	11
11-13	11-34	150	11
12-13	12-34	150	11
13-13	13-34	150	11
14-13	14-34	150	11
15-13	15-34	150	11
16-13	16-34	150	11
17-13	17-34	150	11
18-13	18-34	150	11
19-13	19-34	150	11
20-13	20-34	150	11
21-13	21-34	150	11
22-13	22-34	150	11
23-13	23-34	150	11
24-13	24-34	150	11
25-13	25-34	150	11
26-13	26-34	150	11
27-13	27-34	150	11
28-13	28-34	150	11
29-13	29-34	150	11
30-13	30-34	150	11
31-13	31-34	150	11
32-13	32-34	150	11
33-13	33-34	150	11
34-13	34-34	150	11
35-13	35-34	150	11
36-13	36-34	150	11
37-13	37-34	150	11
38-13	38-34	150	11
39-13	39-34	150	11
40-13	40-34	150	11
41-13	41-34	150	11
42-13	42-34	150	11
43-13	43-34	150	11
44-13	44-34	150	11
45-13	45-34	150	11
46-13	46-34	150	11
47-13	47-34	150	11
48-13	48-34	150	11
49-13	49-34	150	11
50-13	50-34	150	11
1-13	1-18	825	2
2-13	2-18	825	2
3-13	3-18	825	2
4-13	4-18	825	2
5-13	5-18	825	2
6-13	6-18	825	2
7-13	7-18	825	2
8-13	8-18	825	2
9-13	9-18	825	2
10-13	10-18	825	2
11-13	11-18	825	2
12-13	12-18	825	2
13-13	13-18	825	2
14-13	14-18	825	2
15-13	15-18	825	2
16-13	16-18	825	2
17-13	17-18	825	2
18-13	18-18	825	2
19-13	19-18	825	2
20-13	20-18	825	2
21-13	21-18	825	2
22-13	22-18	825	2
23-13	23-18	825	2
24-13	24-18	825	2
25-13	25-18	825	2
26-13	26-18	825	2
27-13	27-18	825	2
28-13	28-18	825	2
29-13	29-18	825	2
30-13	30-18	825	2
31-13	31-18	825	2
32-13	32-18	825	2
33-13	33-18	825	2
34-13	34-18	825	2
35-13	35-18	825	2
36-13	36-18	825	2
37-13	37-18	825	2
38-13	38-18	825	2
39-13	39-18	825	2
40-13	40-18	825	2
41-13	41-18	825	2
42-13	42-18	825	2
43-13	43-18	825	2
44-13	44-18	825	2
45-13	45-18	825	2
46-13	46-18	825	2
47-13	47-18	825	2
48-13	48-18	825	2
49-13	49-18	825	2
50-13	50-18	825	2
1-14	1-11	250	9
2-14	2-11	250	9
3-14	3-11	250	9
4-14	4-11	250	9
5-14	5-11	250	9
6-14	6-11	250	9
7-14	7-11	250	9
8-14	8-11	250	9
9-14	9-11	250	9
10-14	10-11	250	9
11-14	11-11	250	9
12-14	12-11	250	9
13-14	13-11	250	9
14-14	14-11	250	9
15-14	15-11	250	9
16-14	16-11	250	9
17-14	17-11	250	9
18-14	18-11	250	9
19-14	19-11	250	9
20-14	20-11	250	9
21-14	21-11	250	9
22-14	22-11	250	9
23-14	23-11	250	9
24-14	24-11	250	9
25-14	25-11	250	9
26-14	26-11	250	9
27-14	27-11	250	9
28-14	28-11	250	9
29-14	29-11	250	9
30-14	30-11	250	9
31-14	31-11	250	9
32-14	32-11	250	9
33-14	33-11	250	9
34-14	34-11	250	9
35-14	35-11	250	9
36-14	36-11	250	9
37-14	37-11	250	9
38-14	38-11	250	9
39-14	39-11	250	9
40-14	40-11	250	9
41-14	41-11	250	9
42-14	42-11	250	9
43-14	43-11	250	9
44-14	44-11	250	9
45-14	45-11	250	9
46-14	46-11	250	9
47-14	47-11	250	9
48-14	48-11	250	9
49-14	49-11	250	9
50-14	50-11	250	9
1-14	1-10	250	9
2-14	2-10	250	9
3-14	3-10	250	9
4-14	4-10	250	9
5-14	5-10	250	9
6-14	6-10	250	9
7-14	7-10	250	9
8-14	8-10	250	9
9-14	9-10	250	9
10-14	10-10	250	9
11-14	11-10	250	9
12-14	12-10	250	9
13-14	13-10	250	9
14-14	14-10	250	9
15-14	15-10	250	9
16-14	16-10	250	9
17-14	17-10	250	9
18-14	18-10	250	9
19-14	19-10	250	9
20-14	20-10	250	9
21-14	21-10	250	9
22-14	22-10	250	9
23-14	23-10	250	9
24-14	24-10	250	9
25-14	25-10	250	9
26-14	26-10	250	9
27-14	27-10	250	9
28-14	28-10	250	9
29-14	29-10	250	9
30-14	30-10	250	9
31-14	31-10	250	9
32-14	32-10	250	9
33-14	33-10	250	9
34-14	34-10	250	9
35-14	35-10	250	9
36-14	36-10	250	9
37-14	37-10	250	9
38-14	38-10	250	9
39-14	39-10	250	9
40-14	40-10	250	9
41-14	41-10	250	9
42-14	42-10	250	9
43-14	43-10	250	9
44-14	44-10	250	9
45-14	45-10	250	9
46-14	46-10	250	9
47-14	47-10	250	9
48-14	48-10	250	9
49-14	49-10	250	9
50-14	50-10	250	9
1-15	1-16	375	11
2-15	2-16	375	11
3-15	3-16	375	11
4-15	4-16	375	11
5-15	5-16	375	11
6-15	6-16	375	11
7-15	7-16	375	11
8-15	8-16	375	11
9-15	9-16	375	11
10-15	10-16	375	11
11-15	11-16	375	11
12-15	12-16	375	11
13-15	13-16	375	11
14-15	14-16	375	11
15-15	15-16	375	11
16-15	16-16	375	11
17-15	17-16	375	11
18-15	18-16	375	11
19-15	19-16	375	11
20-15	20-16	375	11
21-15	21-16	375	11
22-15	22-16	375	11
23-15	23-16	375	11
24-15	24-16	375	11
25-15	25-16	375	11
26-15	26-16	375	11
27-15	27-16	375	11
28-15	28-16	375	11
29-15	29-16	375	11
30-15	30-16	375	11
31-15	31-16	375	11
32-15	32-16	375	11
33-15	33-16	375	11
34-15	34-16	375	11
35-15	35-16	375	11
36-15	36-16	375	11
37-15	37-16	375	11
38-15	38-16	375	11
39-15	39-16	375	11
40-15	40-16	375	11
41-15	41-16	375	11
42-15	42-16	375	11
43-15	43-16	375	11
44-15	44-16	375	11
45-15	45-16	375	11
46-15	46-16	375	11
47-15	47-16	375	11
48-15	48-16	375	11
49-15	49-16	375	11
50-15	50-16	375	11
1-15	1-17	350	11
2-15	2-17	350	11
3-15	3-17	350	11
4-15	4-17	350	11
5-15	5-17	350	11
6-15	6-17	350	11
7-15	7-17	350	11
8-15	8-17	350	11
9-15	9-17	350	11
10-15	10-17	350	11
11-15	11-17	350	11
12-15	12-17	350	11
13-15	13-17	350	11
14-15	14-17	350	11
15-15	15-17	350	11
16-15	16-17	350	11
17-15	17-17	350	11
18-15	18-17	350	11
19-15	19-17	350	11
20-15	20-17	350	11
21-15	21-17	350	11
22-15	22-17	350	11
23-15	23-17	350	11
24-15	24-17	350	11
25-15	25-17	350	11
26-15	26-17	350	11
27-15	27-17	350	11
28-15	28-17	350	11
29-15	29-17	350	11
30-15	30-17	350	11
31-15	31-17	350	11
32-15	32-17	350	11
33-15	33-17	350	11
34-15	34-17	350	11
35-15	35-17	350	11
36-15	36-17	350	11
37-15	37-17	350	11
38-15	38-17	350	11
39-15	39-17	350	11
40-15	40-17	350	11
41-15	41-17	350	11
42-15	42-17	350	11
43-15	43-17	350	11
44-15	44-17	350	11
45-15	45-17	350	11
46-15	46-17	350	11
47-15	47-17	350	11
48-15	48-17	350	11
49-15	49-17	350	11
50-15	50-17	350	11
1-18	1-19	250	9
2-18	2-19	250	9
3-18	3-19	250	9
4-18	4-19	250	9
5-18	5-19	250	9
6-18	6-19	250	9
7-18	7-19	250	9
8-18	8-19	250	9
9-18	9-19	250	9
10-18	10-19	250	9
11-18	11-19	250	9
12-18	12-19	250	9
13-18	13-19	250	9
14-18	14-19	250	9
15-18	15-19	250	9
16-18	16-19	250	9
17-18	17-19	250	9
18-18	18-19	250	9
19-18	19-19	250	9
20-18	20-19	250	9
21-18	21-19	250	9
22-18	22-19	250	9
23-18	23-19	250	9
24-18	24-19	250	9
25-18	25-19	250	9
26-18	26-19	250	9
27-18	27-19	250	9
28-18	28-19	250	9
29-18	29-19	250	9
30-18	30-19	250	9
31-18	31-19	250	9
32-18	32-19	250	9
33-18	33-19	250	9
34-18	34-19	250	9
35-18	35-19	250	9
36-18	36-19	250	9
37-18	37-19	250	9
38-18	38-19	250	9
39-18	39-19	250	9
40-18	40-19	250	9
41-18	41-19	250	9
42-18	42-19	250	9
43-18	43-19	250	9
44-18	44-19	250	9
45-18	45-19	250	9
46-18	46-19	250	9
47-18	47-19	250	9
48-18	48-19	250	9
49-18	49-19	250	9
50-18	50-19	250	9
1-18	1-21	300	2
2-18	2-21	300	2
3-18	3-21	300	2
4-18	4-21	300	2
5-18	5-21	300	2
6-18	6-21	300	2
7-18	7-21	300	2
8-18	8-21	300	2
9-18	9-21	300	2
10-18	10-21	300	2
11-18	11-21	300	2
12-18	12-21	300	2
13-18	13-21	300	2
14-18	14-21	300	2
15-18	15-21	300	2
16-18	16-21	300	2
17-18	17-21	300	2
18-18	18-21	300	2
19-18	19-21	300	2
20-18	20-21	300	2
21-18	21-21	300	2
22-18	22-21	300	2
23-18	23-21	300	2
24-18	24-21	300	2
25-18	25-21	300	2
26-18	26-21	300	2
27-18	27-21	300	2
28-18	28-21	300	2
29-18	29-21	300	2
30-18	30-21	300	2
31-18	31-21	300	2
32-18	32-21	300	2
33-18	33-21	300	2
34-18	34-21	300	2
35-18	35-21	300	2
36-18	36-21	300	2
37-18	37-21	300	2
38-18	38-21	300	2
39-18	39-21	300	2
40-18	40-21	300	2
41-18	41-21	300	2
42-18	42-21	300	2
43-18	43-21	300	2
44-18	44-21	300	2
45-18	45-21	300	2
46-18	46-21	300	2
47-18	47-21	300	2
48-18	48-21	300	2
49-18	49-21	300	2
50-18	50-21	300	2
1-19	1-20	325	9
2-19	2-20	325	9
3-19	3-20	325	9
4-19	4-20	325	9
5-19	5-20	325	9
6-19	6-20	325	9
7-19	7-20	325	9
8-19	8-20	325	9
9-19	9-20	325	9
10-19	10-20	325	9
11-19	11-20	325	9
12-19	12-20	325	9
13-19	13-20	325	9
14-19	14-20	325	9
15-19	15-20	325	9
16-19	16-20	325	9
17-19	17-20	325	9
18-19	18-20	325	9
19-19	19-20	325	9
20-19	20-20	325	9
21-19	21-20	325	9
22-19	22-20	325	9
23-19	23-20	325	9
24-19	24-20	325	9
25-19	25-20	325	9
26-19	26-20	325	9
27-19	27-20	325	9
28-19	28-20	325	9
29-19	29-20	325	9
30-19	30-20	325	9
31-19	31-20	325	9
32-19	32-20	325	9
33-19	33-20	325	9
34-19	34-20	325	9
35-19	35-20	325	9
36-19	36-20	325	9
37-19	37-20	325	9
38-19	38-20	325	9
39-19	39-20	325	9
40-19	40-20	325	9
41-19	41-20	325	9
42-19	42-20	325	9
43-19	43-20	325	9
44-19	44-20	325	9
45-19	45-20	325	9
46-19	46-20	325	9
47-19	47-20	325	9
48-19	48-20	325	9
49-19	49-20	325	9
50-19	50-20	325	9
1-21	1-22	525	10
2-21	2-22	525	10
3-21	3-22	525	10
4-21	4-22	525	10
5-21	5-22	525	10
6-21	6-22	525	10
7-21	7-22	525	10
8-21	8-22	525	10
9-21	9-22	525	10
10-21	10-22	525	10
11-21	11-22	525	10
12-21	12-22	525	10
13-21	13-22	525	10
14-21	14-22	525	10
15-21	15-22	525	10
16-21	16-22	525	10
17-21	17-22	525	10
18-21	18-22	525	10
19-21	19-22	525	10
20-21	20-22	525	10
21-21	21-22	525	10
22-21	22-22	525	10
23-21	23-22	525	10
24-21	24-22	525	10
25-21	25-22	525	10
26-21	26-22	525	10
27-21	27-22	525	10
28-21	28-22	525	10
29-21	29-22	525	10
30-21	30-22	525	10
31-21	31-22	525	10
32-21	32-22	525	10
33-21	33-22	525	10
34-21	34-22	525	10
35-21	35-22	525	10
36-21	36-22	525	10
37-21	37-22	525	10
38-21	38-22	525	10
39-21	39-22	525	10
40-21	40-22	525	10
41-21	41-22	525	10
42-21	42-22	525	10
43-21	43-22	525	10
44-21	44-22	525	10
45-21	45-22	525	10
46-21	46-22	525	10
47-21	47-22	525	10
48-21	48-22	525	10
49-21	49-22	525	10
50-21	50-22	525	10
1-21	1-23	250	2
2-21	2-23	250	2
3-21	3-23	250	2
4-21	4-23	250	2
5-21	5-23	250	2
6-21	6-23	250	2
7-21	7-23	250	2
8-21	8-23	250	2
9-21	9-23	250	2
10-21	10-23	250	2
11-21	11-23	250	2
12-21	12-23	250	2
13-21	13-23	250	2
14-21	14-23	250	2
15-21	15-23	250	2
16-21	16-23	250	2
17-21	17-23	250	2
18-21	18-23	250	2
19-21	19-23	250	2
20-21	20-23	250	2
21-21	21-23	250	2
22-21	22-23	250	2
23-21	23-23	250	2
24-21	24-23	250	2
25-21	25-23	250	2
26-21	26-23	250	2
27-21	27-23	250	2
28-21	28-23	250	2
29-21	29-23	250	2
30-21	30-23	250	2
31-21	31-23	250	2
32-21	32-23	250	2
33-21	33-23	250	2
34-21	34-23	250	2
35-21	35-23	250	2
36-21	36-23	250	2
37-21	37-23	250	2
38-21	38-23	250	2
39-21	39-23	250	2
40-21	40-23	250	2
41-21	41-23	250	2
42-21	42-23	250	2
43-21	43-23	250	2
44-21	44-23	250	2
45-21	45-23	250	2
46-21	46-23	250	2
47-21	47-23	250	2
48-21	48-23	250	2
49-21	49-23	250	2
50-21	50-23	250	2
1-23	1-24	550	11
2-23	2-24	550	11
3-23	3-24	550	11
4-23	4-24	550	11
5-23	5-24	550	11
6-23	6-24	550	11
7-23	7-24	550	11
8-23	8-24	550	11
9-23	9-24	550	11
10-23	10-24	550	11
11-23	11-24	550	11
12-23	12-24	550	11
13-23	13-24	550	11
14-23	14-24	550	11
15-23	15-24	550	11
16-23	16-24	550	11
17-23	17-24	550	11
18-23	18-24	550	11
19-23	19-24	550	11
20-23	20-24	550	11
21-23	21-24	550	11
22-23	22-24	550	11
23-23	23-24	550	11
24-23	24-24	550	11
25-23	25-24	550	11
26-23	26-24	550	11
27-23	27-24	550	11
28-23	28-24	550	11
29-23	29-24	550	11
30-23	30-24	550	11
31-23	31-24	550	11
32-23	32-24	550	11
33-23	33-24	550	11
34-23	34-24	550	11
35-23	35-24	550	11
36-23	36-24	550	11
37-23	37-24	550	11
38-23	38-24	550	11
39-23	39-24	550	11
40-23	40-24	550	11
41-23	41-24	550	11
42-23	42-24	550	11
43-23	43-24	550	11
44-23	44-24	550	11
45-23	45-24	550	11
46-23	46-24	550	11
47-23	47-24	550	11
48-23	48-24	550	11
49-23	49-24	550	11
50-23	50-24	550	11
1-23	1-25	275	2
2-23	2-25	275	2
3-23	3-25	275	2
4-23	4-25	275	2
5-23	5-25	275	2
6-23	6-25	275	2
7-23	7-25	275	2
8-23	8-25	275	2
9-23	9-25	275	2
10-23	10-25	275	2
11-23	11-25	275	2
12-23	12-25	275	2
13-23	13-25	275	2
14-23	14-25	275	2
