Line Segment Data	12800 items	feet
73-1	73-7	300	1
74-1	74-7	300	1
75-1	75-7	300	1
76-1	76-7	300	1
77-1	77-7	300	1
78-1	78-7	300	1
79-1	79-7	300	1
80-1	80-7	300	1
81-1	81-7	300	1
82-1	82-7	300	1
83-1	83-7	300	1
84-1	84-7	300	1
85-1	85-7	300	1
86-1	86-7	300	1
87-1	87-7	300	1
88-1	88-7	300	1
89-1	89-7	300	1
90-1	90-7	300	1
91-1	91-7	300	1
92-1	92-7	300	1
93-1	93-7	300	1
94-1	94-7	300	1
95-1	95-7	300	1
96-1	96-7	300	1
97-1	97-7	300	1
98-1	98-7	300	1
99-1	99-7	300	1
100-1	100-7	300	1
1-3	1-4	200	11
2-3	2-4	200	11
3-3	3-4	200	11
4-3	4-4	200	11
5-3	5-4	200	11
6-3	6-4	200	11
7-3	7-4	200	11
8-3	8-4	200	11
9-3	9-4	200	11
10-3	10-4	200	11
11-3	11-4	200	11
12-3	12-4	200	11
13-3	13-4	200	11
14-3	14-4	200	11
15-3	15-4	200	11
16-3	16-4	200	11
17-3	17-4	200	11
18-3	18-4	200	11
19-3	19-4	200	11
20-3	20-4	200	11
21-3	21-4	200	11
22-3	22-4	200	11
23-3	23-4	200	11
24-3	24-4	200	11
25-3	25-4	200	11
26-3	26-4	200	11
27-3	27-4	200	11
28-3	28-4	200	11
29-3	29-4	200	11
30-3	30-4	200	11
31-3	31-4	200	11
32-3	32-4	200	11
33-3	33-4	200	11
34-3	34-4	200	11
35-3	35-4	200	11
36-3	36-4	200	11
37-3	37-4	200	11
38-3	38-4	200	11
39-3	39-4	200	11
40-3	40-4	200	11
41-3	41-4	200	11
42-3	42-4	200	11
43-3	43-4	200	11
44-3	44-4	200	11
45-3	45-4	200	11
46-3	46-4	200	11
47-3	47-4	200	11
48-3	48-4	200	11
49-3	49-4	200	11
50-3	50-4	200	11
51-3	51-4	200	11
52-3	52-4	200	11
53-3	53-4	200	11
54-3	54-4	200	11
55-3	55-4	200	11
56-3	56-4	200	11
57-3	57-4	200	11
58-3	58-4	200	11
59-3	59-4	200	11
60-3	60-4	200	11
61-3	61-4	200	11
62-3	62-4	200	11
63-3	63-4	200	11
64-3	64-4	200	11
65-3	65-4	200	11
66-3	66-4	200	11
67-3	67-4	200	11
68-3	68-4	200	11
69-3	69-4	200	11
70-3	70-4	200	11
71-3	71-4	200	11
72-3	72-4	200	11
73-3	73-4	200	11
74-3	74-4	200	11
75-3	75-4	200	11
76-3	76-4	200	11
77-3	77-4	200	11
78-3	78-4	200	11
79-3	79-4	200	11
80-3	80-4	200	11
81-3	81-4	200	11
82-3	82-4	200	11
83-3	83-4	200	11
84-3	84-4	200	11
85-3	85-4	200	11
86-3	86-4	200	11
87-3	87-4	200	11
88-3	88-4	200	11
89-3	89-4	200	11
90-3	90-4	200	11
91-3	91-4	200	11
92-3	92-4	200	11
93-3	93-4	200	11
94-3	94-4	200	11
95-3	95-4	200	11
96-3	96-4	200	11
97-3	97-4	200	11
98-3	98-4	200	11
99-3	99-4	200	11
100-3	100-4	200	11
1-3	1-5	325	11
2-3	2-5	325	11
3-3	3-5	325	11
4-3	4-5	325	11
5-3	5-5	325	11
6-3	6-5	325	11
7-3	7-5	325	11
8-3	8-5	325	11
9-3	9-5	325	11
10-3	10-5	325	11
11-3	11-5	325	11
12-3	12-5	325	11
13-3	13-5	325	11
14-3	14-5	325	11
15-3	15-5	325	11
16-3	16-5	325	11
17-3	17-5	325	11
18-3	18-5	325	11
19-3	19-5	325	11
20-3	20-5	325	11
21-3	21-5	325	11
22-3	22-5	325	11
23-3	23-5	325	11
24-3	24-5	325	11
25-3	25-5	325	11
26-3	26-5	325	11
27-3	27-5	325	11
28-3	28-5	325	11
29-3	29-5	325	11
30-3	30-5	325	11
31-3	31-5	325	11
32-3	32-5	325	11
33-3	33-5	325	11
34-3	34-5	325	11
35-3	35-5	325	11
36-3	36-5	325	11
37-3	37-5	325	11
38-3	38-5	325	11
39-3	39-5	325	11
40-3	40-5	325	11
41-3	41-5	325	11
42-3	42-5	325	11
43-3	43-5	325	11
44-3	44-5	325	11
45-3	45-5	325	11
46-3	46-5	325	11
47-3	47-5	325	11
48-3	48-5	325	11
49-3	49-5	325	11
50-3	50-5	325	11
51-3	51-5	325	11
52-3	52-5	325	11
53-3	53-5	325	11
54-3	54-5	325	11
55-3	55-5	325	11
56-3	56-5	325	11
57-3	57-5	325	11
58-3	58-5	325	11
59-3	59-5	325	11
60-3	60-5	325	11
61-3	61-5	325	11
62-3	62-5	325	11
63-3	63-5	325	11
64-3	64-5	325	11
65-3	65-5	325	11
66-3	66-5	325	11
67-3	67-5	325	11
68-3	68-5	325	11
69-3	69-5	325	11
70-3	70-5	325	11
71-3	71-5	325	11
72-3	72-5	325	11
73-3	73-5	325	11
74-3	74-5	325	11
75-3	75-5	325	11
76-3	76-5	325	11
77-3	77-5	325	11
78-3	78-5	325	11
79-3	79-5	325	11
80-3	80-5	325	11
81-3	81-5	325	11
82-3	82-5	325	11
83-3	83-5	325	11
84-3	84-5	325	11
85-3	85-5	325	11
86-3	86-5	325	11
87-3	87-5	325	11
88-3	88-5	325	11
89-3	89-5	325	11
90-3	90-5	325	11
91-3	91-5	325	11
92-3	92-5	325	11
93-3	93-5	325	11
94-3	94-5	325	11
95-3	95-5	325	11
96-3	96-5	325	11
97-3	97-5	325	11
98-3	98-5	325	11
99-3	99-5	325	11
100-3	100-5	325	11
1-5	1-6	250	11
2-5	2-6	250	11
3-5	3-6	250	11
4-5	4-6	250	11
5-5	5-6	250	11
6-5	6-6	250	11
7-5	7-6	250	11
8-5	8-6	250	11
9-5	9-6	250	11
10-5	10-6	250	11
11-5	11-6	250	11
12-5	12-6	250	11
13-5	13-6	250	11
14-5	14-6	250	11
15-5	15-6	250	11
16-5	16-6	250	11
17-5	17-6	250	11
18-5	18-6	250	11
19-5	19-6	250	11
20-5	20-6	250	11
21-5	21-6	250	11
22-5	22-6	250	11
23-5	23-6	250	11
24-5	24-6	250	11
25-5	25-6	250	11
26-5	26-6	250	11
27-5	27-6	250	11
28-5	28-6	250	11
29-5	29-6	250	11
30-5	30-6	250	11
31-5	31-6	250	11
32-5	32-6	250	11
33-5	33-6	250	11
34-5	34-6	250	11
35-5	35-6	250	11
36-5	36-6	250	11
37-5	37-6	250	11
38-5	38-6	250	11
39-5	39-6	250	11
40-5	40-6	250	11
41-5	41-6	250	11
42-5	42-6	250	11
43-5	43-6	250	11
44-5	44-6	250	11
45-5	45-6	250	11
46-5	46-6	250	11
47-5	47-6	250	11
48-5	48-6	250	11
49-5	49-6	250	11
50-5	50-6	250	11
51-5	51-6	250	11
52-5	52-6	250	11
53-5	53-6	250	11
54-5	54-6	250	11
55-5	55-6	250	11
56-5	56-6	250	11
57-5	57-6	250	11
58-5	58-6	250	11
59-5	59-6	250	11
60-5	60-6	250	11
61-5	61-6	250	11
62-5	62-6	250	11
63-5	63-6	250	11
64-5	64-6	250	11
65-5	65-6	250	11
66-5	66-6	250	11
67-5	67-6	250	11
68-5	68-6	250	11
69-5	69-6	250	11
70-5	70-6	250	11
71-5	71-6	250	11
72-5	72-6	250	11
73-5	73-6	250	11
74-5	74-6	250	11
75-5	75-6	250	11
76-5	76-6	250	11
77-5	77-6	250	11
78-5	78-6	250	11
79-5	79-6	250	11
80-5	80-6	250	11
81-5	81-6	250	11
82-5	82-6	250	11
83-5	83-6	250	11
84-5	84-6	250	11
85-5	85-6	250	11
86-5	86-6	250	11
87-5	87-6	250	11
88-5	88-6	250	11
89-5	89-6	250	11
90-5	90-6	250	11
91-5	91-6	250	11
92-5	92-6	250	11
93-5	93-6	250	11
94-5	94-6	250	11
95-5	95-6	250	11
96-5	96-6	250	11
97-5	97-6	250	11
98-5	98-6	250	11
99-5	99-6	250	11
100-5	100-6	250	11
1-7	1-8	200	1
2-7	2-8	200	1
3-7	3-8	200	1
4-7	4-8	200	1
5-7	5-8	200	1
6-7	6-8	200	1
7-7	7-8	200	1
8-7	8-8	200	1
9-7	9-8	200	1
10-7	10-8	200	1
11-7	11-8	200	1
12-7	12-8	200	1
13-7	13-8	200	1
14-7	14-8	200	1
15-7	15-8	200	1
16-7	16-8	200	1
17-7	17-8	200	1
18-7	18-8	200	1
19-7	19-8	200	1
20-7	20-8	200	1
21-7	21-8	200	1
22-7	22-8	200	1
23-7	23-8	200	1
24-7	24-8	200	1
25-7	25-8	200	1
26-7	26-8	200	1
27-7	27-8	200	1
28-7	28-8	200	1
29-7	29-8	200	1
30-7	30-8	200	1
31-7	31-8	200	1
32-7	32-8	200	1
33-7	33-8	200	1
34-7	34-8	200	1
35-7	35-8	200	1
36-7	36-8	200	1
37-7	37-8	200	1
38-7	38-8	200	1
39-7	39-8	200	1
40-7	40-8	200	1
41-7	41-8	200	1
42-7	42-8	200	1
43-7	43-8	200	1
44-7	44-8	200	1
45-7	45-8	200	1
46-7	46-8	200	1
47-7	47-8	200	1
48-7	48-8	200	1
49-7	49-8	200	1
50-7	50-8	200	1
51-7	51-8	200	1
52-7	52-8	200	1
53-7	53-8	200	1
54-7	54-8	200	1
55-7	55-8	200	1
56-7	56-8	200	1
57-7	57-8	200	1
58-7	58-8	200	1
59-7	59-8	200	1
60-7	60-8	200	1
61-7	61-8	200	1
62-7	62-8	200	1
63-7	63-8	200	1
64-7	64-8	200	1
65-7	65-8	200	1
66-7	66-8	200	1
67-7	67-8	200	1
68-7	68-8	200	1
69-7	69-8	200	1
70-7	70-8	200	1
71-7	71-8	200	1
72-7	72-8	200	1
73-7	73-8	200	1
74-7	74-8	200	1
75-7	75-8	200	1
76-7	76-8	200	1
77-7	77-8	200	1
78-7	78-8	200	1
79-7	79-8	200	1
80-7	80-8	200	1
81-7	81-8	200	1
82-7	82-8	200	1
83-7	83-8	200	1
84-7	84-8	200	1
85-7	85-8	200	1
86-7	86-8	200	1
87-7	87-8	200	1
88-7	88-8	200	1
89-7	89-8	200	1
90-7	90-8	200	1
91-7	91-8	200	1
92-7	92-8	200	1
93-7	93-8	200	1
94-7	94-8	200	1
95-7	95-8	200	1
96-7	96-8	200	1
97-7	97-8	200	1
98-7	98-8	200	1
99-7	99-8	200	1
100-7	100-8	200	1
1-8	1-12	225	10
2-8	2-12	225	10
3-8	3-12	225	10
4-8	4-12	225	10
5-8	5-12	225	10
6-8	6-12	225	10
7-8	7-12	225	10
8-8	8-12	225	10
9-8	9-12	225	10
10-8	10-12	225	10
11-8	11-12	225	10
12-8	12-12	225	10
13-8	13-12	225	10
14-8	14-12	225	10
15-8	15-12	225	10
16-8	16-12	225	10
17-8	17-12	225	10
18-8	18-12	225	10
19-8	19-12	225	10
20-8	20-12	225	10
21-8	21-12	225	10
22-8	22-12	225	10
23-8	23-12	225	10
24-8	24-12	225	10
25-8	25-12	225	10
26-8	26-12	225	10
27-8	27-12	225	10
28-8	28-12	225	10
29-8	29-12	225	10
30-8	30-12	225	10
31-8	31-12	225	10
32-8	32-12	225	10
33-8	33-12	225	10
34-8	34-12	225	10
35-8	35-12	225	10
36-8	36-12	225	10
37-8	37-12	225	10
38-8	38-12	225	10
39-8	39-12	225	10
40-8	40-12	225	10
41-8	41-12	225	10
42-8	42-12	225	10
43-8	43-12	225	10
44-8	44-12	225	10
45-8	45-12	225	10
46-8	46-12	225	10
47-8	47-12	225	10
48-8	48-12	225	10
49-8	49-12	225	10
50-8	50-12	225	10
51-8	51-12	225	10
52-8	52-12	225	10
53-8	53-12	225	10
54-8	54-12	225	10
55-8	55-12	225	10
56-8	56-12	225	10
57-8	57-12	225	10
58-8	58-12	225	10
59-8	59-12	225	10
60-8	60-12	225	10
61-8	61-12	225	10
62-8	62-12	225	10
63-8	63-12	225	10
64-8	64-12	225	10
65-8	65-12	225	10
66-8	66-12	225	10
67-8	67-12	225	10
68-8	68-12	225	10
69-8	69-12	225	10
70-8	70-12	225	10
71-8	71-12	225	10
72-8	72-12	225	10
73-8	73-12	225	10
74-8	74-12	225	10
75-8	75-12	225	10
76-8	76-12	225	10
77-8	77-12	225	10
78-8	78-12	225	10
79-8	79-12	225	10
80-8	80-12	225	10
81-8	81-12	225	10
82-8	82-12	225	10
83-8	83-12	225	10
84-8	84-12	225	10
85-8	85-12	225	10
86-8	86-12	225	10
87-8	87-12	225	10
88-8	88-12	225	10
89-8	89-12	225	10
90-8	90-12	225	10
91-8	91-12	225	10
92-8	92-12	225	10
93-8	93-12	225	10
94-8	94-12	225	10
95-8	95-12	225	10
96-8	96-12	225	10
97-8	97-12	225	10
98-8	98-12	225	10
99-8	99-12	225	10
100-8	100-12	225	10
1-8	1-9	225	9
2-8	2-9	225	9
3-8	3-9	225	9
4-8	4-9	225	9
5-8	5-9	225	9
6-8	6-9	225	9
7-8	7-9	225	9
8-8	8-9	225	9
9-8	9-9	225	9
10-8	10-9	225	9
11-8	11-9	225	9
12-8	12-9	225	9
13-8	13-9	225	9
14-8	14-9	225	9
15-8	15-9	225	9
16-8	16-9	225	9
17-8	17-9	225	9
18-8	18-9	225	9
19-8	19-9	225	9
20-8	20-9	225	9
21-8	21-9	225	9
22-8	22-9	225	9
23-8	23-9	225	9
24-8	24-9	225	9
25-8	25-9	225	9
26-8	26-9	225	9
27-8	27-9	225	9
28-8	28-9	225	9
29-8	29-9	225	9
30-8	30-9	225	9
31-8	31-9	225	9
32-8	32-9	225	9
33-8	33-9	225	9
34-8	34-9	225	9
35-8	35-9	225	9
36-8	36-9	225	9
37-8	37-9	225	9
38-8	38-9	225	9
39-8	39-9	225	9
40-8	40-9	225	9
41-8	41-9	225	9
42-8	42-9	225	9
43-8	43-9	225	9
44-8	44-9	225	9
45-8	45-9	225	9
46-8	46-9	225	9
47-8	47-9	225	9
48-8	48-9	225	9
49-8	49-9	225	9
50-8	50-9	225	9
51-8	51-9	225	9
52-8	52-9	225	9
53-8	53-9	225	9
54-8	54-9	225	9
55-8	55-9	225	9
56-8	56-9	225	9
57-8	57-9	225	9
58-8	58-9	225	9
59-8	59-9	225	9
60-8	60-9	225	9
61-8	61-9	225	9
62-8	62-9	225	9
63-8	63-9	225	9
64-8	64-9	225	9
65-8	65-9	225	9
66-8	66-9	225	9
67-8	67-9	225	9
68-8	68-9	225	9
69-8	69-9	225	9
70-8	70-9	225	9
71-8	71-9	225	9
72-8	72-9	225	9
73-8	73-9	225	9
74-8	74-9	225	9
75-8	75-9	225	9
76-8	76-9	225	9
77-8	77-9	225	9
78-8	78-9	225	9
79-8	79-9	225	9
80-8	80-9	225	9
81-8	81-9	225	9
82-8	82-9	225	9
83-8	83-9	225	9
84-8	84-9	225	9
85-8	85-9	225	9
86-8	86-9	225	9
87-8	87-9	225	9
88-8	88-9	225	9
89-8	89-9	225	9
90-8	90-9	225	9
91-8	91-9	225	9
92-8	92-9	225	9
93-8	93-9	225	9
94-8	94-9	225	9
95-8	95-9	225	9
96-8	96-9	225	9
97-8	97-9	225	9
98-8	98-9	225	9
99-8	99-9	225	9
100-8	100-9	225	9
1-8	1-13	300	1
2-8	2-13	300	1
3-8	3-13	300	1
4-8	4-13	300	1
5-8	5-13	300	1
6-8	6-13	300	1
7-8	7-13	300	1
8-8	8-13	300	1
9-8	9-13	300	1
10-8	10-13	300	1
11-8	11-13	300	1
12-8	12-13	300	1
13-8	13-13	300	1
14-8	14-13	300	1
15-8	15-13	300	1
16-8	16-13	300	1
17-8	17-13	300	1
18-8	18-13	300	1
19-8	19-13	300	1
20-8	20-13	300	1
21-8	21-13	300	1
22-8	22-13	300	1
23-8	23-13	300	1
24-8	24-13	300	1
25-8	25-13	300	1
26-8	26-13	300	1
27-8	27-13	300	1
28-8	28-13	300	1
29-8	29-13	300	1
30-8	30-13	300	1
31-8	31-13	300	1
32-8	32-13	300	1
33-8	33-13	300	1
34-8	34-13	300	1
35-8	35-13	300	1
36-8	36-13	300	1
37-8	37-13	300	1
38-8	38-13	300	1
39-8	39-13	300	1
40-8	40-13	300	1
41-8	41-13	300	1
42-8	42-13	300	1
43-8	43-13	300	1
44-8	44-13	300	1
45-8	45-13	300	1
46-8	46-13	300	1
47-8	47-13	300	1
48-8	48-13	300	1
49-8	49-13	300	1
50-8	50-13	300	1
51-8	51-13	300	1
52-8	52-13	300	1
53-8	53-13	300	1
54-8	54-13	300	1
55-8	55-13	300	1
56-8	56-13	300	1
57-8	57-13	300	1
58-8	58-13	300	1
59-8	59-13	300	1
60-8	60-13	300	1
61-8	61-13	300	1
62-8	62-13	300	1
63-8	63-13	300	1
64-8	64-13	300	1
65-8	65-13	300	1
66-8	66-13	300	1
67-8	67-13	300	1
68-8	68-13	300	1
69-8	69-13	300	1
70-8	70-13	300	1
71-8	71-13	300	1
72-8	72-13	300	1
73-8	73-13	300	1
74-8	74-13	300	1
75-8	75-13	300	1
76-8	76-13	300	1
77-8	77-13	300	1
78-8	78-13	300	1
79-8	79-13	300	1
80-8	80-13	300	1
81-8	81-13	300	1
82-8	82-13	300	1
83-8	83-13	300	1
84-8	84-13	300	1
85-8	85-13	300	1
86-8	86-13	300	1
87-8	87-13	300	1
88-8	88-13	300	1
89-8	89-13	300	1
90-8	90-13	300	1
91-8	91-13	300	1
92-8	92-13	300	1
93-8	93-13	300	1
94-8	94-13	300	1
95-8	95-13	300	1
96-8	96-13	300	1
97-8	97-13	300	1
98-8	98-13	300	1
99-8	99-13	300	1
100-8	100-13	300	1
1-9	1-14	425	9
2-9	2-14	425	9
3-9	3-14	425	9
4-9	4-14	425	9
5-9	5-14	425	9
6-9	6-14	425	9
7-9	7-14	425	9
8-9	8-14	425	9
9-9	9-14	425	9
10-9	10-14	425	9
11-9	11-14	425	9
12-9	12-14	425	9
13-9	13-14	425	9
14-9	14-14	425	9
15-9	15-14	425	9
16-9	16-14	425	9
17-9	17-14	425	9
18-9	18-14	425	9
19-9	19-14	425	9
20-9	20-14	425	9
21-9	21-14	425	9
22-9	22-14	425	9
23-9	23-14	425	9
24-9	24-14	425	9
25-9	25-14	425	9
26-9	26-14	425	9
27-9	27-14	425	9
28-9	28-14	425	9
29-9	29-14	425	9
30-9	30-14	425	9
31-9	31-14	425	9
32-9	32-14	425	9
33-9	33-14	425	9
34-9	34-14	425	9
35-9	35-14	425	9
36-9	36-14	425	9
37-9	37-14	425	9
38-9	38-14	425	9
39-9	39-14	425	9
40-9	40-14	425	9
41-9	41-14	425	9
42-9	42-14	425	9
43-9	43-14	425	9
44-9	44-14	425	9
45-9	45-14	425	9
46-9	46-14	425	9
47-9	47-14	425	9
48-9	48-14	425	9
49-9	49-14	425	9
50-9	50-14	425	9
51-9	51-14	425	9
52-9	52-14	425	9
53-9	53-14	425	9
54-9	54-14	425	9
55-9	55-14	425	9
56-9	56-14	425	9
57-9	57-14	425	9
58-9	58-14	425	9
59-9	59-14	425	9
60-9	60-14	425	9
61-9	61-14	425	9
62-9	62-14	425	9
63-9	63-14	425	9
64-9	64-14	425	9
65-9	65-14	425	9
66-9	66-14	425	9
67-9	67-14	425	9
68-9	68-14	425	9
69-9	69-14	425	9
70-9	70-14	425	9
71-9	71-14	425	9
72-9	72-14	425	9
73-9	73-14	425	9
74-9	74-14	425	9
75-9	75-14	425	9
76-9	76-14	425	9
77-9	77-14	425	9
78-9	78-14	425	9
79-9	79-14	425	9
80-9	80-14	425	9
81-9	81-14	425	9
82-9	82-14	425	9
83-9	83-14	425	9
84-9	84-14	425	9
85-9	85-14	425	9
86-9	86-14	425	9
87-9	87-14	425	9
88-9	88-14	425	9
89-9	89-14	425	9
90-9	90-14	425	9
91-9	91-14	425	9
92-9	92-14	425	9
93-9	93-14	425	9
94-9	94-14	425	9
95-9	95-14	425	9
96-9	96-14	425	9
97-9	97-14	425	9
98-9	98-14	425	9
99-9	99-14	425	9
100-9	100-14	425	9
1-13	1-34	150	11
2-13	2-34	150	11
3-13	3-34	150	11
4-13	4-34	150	11
5-13	5-34	150	11
6-13	6-34	150	11
7-13	7-34	150	11
8-13	8-34	150	11
9-13	9-34	150	11
10-13	10-34	150	11
11-13	11-34	150	11
12-13	12-34	150	11
13-13	13-34	150	11
14-13	14-34	150	11
15-13	15-34	150	11
16-13	16-34	150	11
17-13	17-34	150	11
18-13	18-34	150	11
19-13	19-34	150	11
20-13	20-34	150	11
21-13	21-34	150	11
22-13	22-34	150	11
23-13	23-34	150	11
24-13	24-34	150	11
25-13	25-34	150	11
26-13	26-34	150	11
27-13	27-34	150	11
28-13	28-34	150	11
29-13	29-34	150	11
30-13	30-34	150	11
31-13	31-34	150	11
32-13	32-34	150	11
33-13	33-34	150	11
34-13	34-34	150	11
35-13	35-34	150	11
36-13	36-34	150	11
37-13	37-34	150	11
38-13	38-34	150	11
39-13	39-34	150	11
40-13	40-34	150	11
41-13	41-34	150	11
42-13	42-34	150	11
43-13	43-34	150	11
44-13	44-34	150	11
45-13	45-34	150	11
46-13	46-34	150	11
47-13	47-34	150	11
48-13	48-34	150	11
49-13	49-34	150	11
50-13	50-34	150	11
51-13	51-34	150	11
52-13	52-34	150	11
53-13	53-34	150	11
54-13	54-34	150	11
55-13	55-34	150	11
56-13	56-34	150	11
57-13	57-34	150	11
58-13	58-34	150	11
59-13	59-34	150	11
60-13	60-34	150	11
61-13	61-34	150	11
62-13	62-34	150	11
63-13	63-34	150	11
64-13	64-34	150	11
